"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GM000010147","1891-01","53.635","9.99","11.0","HAMBURG FUHLSBUETTEL, GM","0.0","G","0.0",",G","20",",I","5",",I","0",",I","","","0",",G","23",",G","17",",G","0",",G","0",",G","18910101",",,G","","","18910124",",,I","18910130",",,G","-13.2",",G,01,","","","6.4",",,I,24,","6.7",",G,30,","","","682.9",",G","41.8",",,,I","-3.70",",G","-1.49",",,,G","-5.90",",,,G"
"GM000010147","1891-02","53.635","9.99","11.0","HAMBURG FUHLSBUETTEL, GM","0.0","G","0.0","2,G","7",",I","2",",I","0",",I","","","0","1,G","16","1,G","2","1,G","0","1,G","0","1,G","18910214",",1,G","","","18910212",",,I","18910227",",1,G","-8.9","1,G,14,","","","15.0",",,I,12,","9.4","1,G,27,","","","447.3","1,G","26.9",",,,I","1.11","2,G","3.37","1,,,G","-1.14","1,,,G"
"GM000010147","1891-03","53.635","9.99","11.0","HAMBURG FUHLSBUETTEL, GM","0.0","G","0.0","2,G","23",",I","13",",I","0",",I","","","0","1,G","10","1,G","1","1,G","0","1,G","0","1,G","18910322",",1,G","","","18910308",",,I","18910318",",1,G","-4.9","1,G,22,","","","12.0",",,I,08,","11.9","1,G,18,","","","455.6","1,G","88.8",",,,I","2.65","2,G","5.05","1,,,G","0.24","1,,,G"
"GM000010147","1891-04","53.635","9.99","11.0","HAMBURG FUHLSBUETTEL, GM","0.0","G","0.0",",G","15",",I","8",",I","0",",I","","","0",",G","4",",G","0",",G","0",",G","0",",G","18910401",",,G","","","18910417",",,I","18910429",",,G","-2.6",",G,01,","","","20.7",",,I,17,","16.2",",G,29,","","","388.1",",G","69.3",",,,I","5.40",",G","8.34",",,,G","2.46",",,,G"
"GM000010147","1891-05","53.635","9.99","11.0","HAMBURG FUHLSBUETTEL, GM","0.0","G","0.0",",G","14",",I","6",",I","0",",I","","","0",",G","0",",G","0",",G","2",",G","0",",G","18910517",",,G","","","18910527",",,I","18910531",",,G","1.4",",G,17,","","","10.8",",,I,27,","23.1",",G,31,","","","191.4",",G","43.4",",,,I","12.16",",G","16.21",",,,G","8.11",",,,G"
"GM000010147","1891-06","53.635","9.99","11.0","HAMBURG FUHLSBUETTEL, GM","11.4","G","11.4",",G","12",",I","7",",I","0",",I","","","0",",G","0",",G","0",",G","10",",G","0",",G","18910605",",,G","","","18910619",",,I","18910627",",,G","6.0",",G,05,","","","16.2",",,I,19,","26.8",",G,27,","","","126.0",",G","55.5",",,,I","14.51",",G","18.20",",,,G","10.83",",,,G"
"GM000010147","1891-07","53.635","9.99","11.0","HAMBURG FUHLSBUETTEL, GM","23.0","G","11.6",",G","19",",I","10",",I","1",",I","","","0",",G","0",",G","0",",G","14",",G","0",",G","18910729",",,G","","","18910706",",,I","18910701",",,G","10.3",",G,29,","","","25.9",",,I,06,","25.3",",G,01,","46.2","G","46.2",",G","119.1",",,,I","17.22",",G","20.46",",,,G","13.97",",,,G"
"GM000010147","1891-08","53.635","9.99","11.0","HAMBURG FUHLSBUETTEL, GM","26.6","G","3.6",",G","24",",I","15",",I","0",",I","","","0",",G","0",",G","0",",G","1",",G","0",",G","18910830",",,G","","","18910816",",,I","18910828",",,G","10.1",",G,30,","","","14.1",",,I,16,","26.1",",G,28,","139.2","G","93.0",",G","125.9",",,,I","15.45",",G","18.25",",,,G","12.65",",,,G"
"GM000010147","1891-09","53.635","9.99","11.0","HAMBURG FUHLSBUETTEL, GM","29.2","G","2.6",",G","10",",I","5",",I","0",",I","","","0",",G","0",",G","0",",G","5",",G","0",",G","18910925",",,G","","","18910927",",,I","18910915",",,G","6.2",",G,25,","","","6.0",",,I,27,","23.6",",G,15,","235.3","G","96.1",",G","28.4",",,,I","15.22",",G","18.34",",,,G","12.09",",,,G"
"GM000010147","1891-10","53.635","9.99","11.0","HAMBURG FUHLSBUETTEL, GM","29.2","G","0.0",",G","13",",I","5",",I","0",",I","","","0",",G","2",",G","0",",G","1",",G","0",",G","18911030",",,G","","","18911024",",,I","18911002",",,G","-2.1",",G,30,","","","11.5",",,I,24,","22.4",",G,02,","458.3","G","223.0",",G","36.4",",,,I","11.14",",G","14.20",",,,G","8.08",",,,G"
"GM000010147","1891-11","53.635","9.99","11.0","HAMBURG FUHLSBUETTEL, GM","29.2","G","0.0","2,G","14",",I","6",",I","0",",I","","","0","1,G","7","1,G","0","1,G","0","1,G","0","1,G","18911109",",1,G","","","18911117",",,I","18911102",",1,G","-2.8","1,G,09,","","","6.2",",,I,17,","11.5","1,G,02,","862.2","G","403.9","1,G","38.8",",,,I","4.04","2,G","6.16","1,,,G","1.92","1,,,G"
"GM000010147","1891-12","53.635","9.99","11.0","HAMBURG FUHLSBUETTEL, GM","29.2","G","0.0",",G","19",",I","14",",I","0",",I","","","0",",G","11",",G","6",",G","0",",G","0",",G","18911224",",,G","","","18911210",",,I","18911206",",,G","-5.2",",G,24,","","","11.5",",,I,10,","11.6",",G,06,","1342.0","G","479.8",",G","90.1",",,,I","2.85",",G","4.73",",,,G","0.98",",,,G"
"GM000010147","1892-01","53.635","9.99","11.0","HAMBURG FUHLSBUETTEL, GM","0.0","G","0.0","2,G","19",",I","13",",I","0",",I","","","0","1,G","20","1,G","11","1,G","0","1,G","0","1,G","18920122",",1,G","","","18920105",",,I","18920131",",1,G","-15.1","1,G,22,","","","12.7",",,I,05,","8.3","1,G,31,","1908.5","G","566.5","1,G","79.0",",,,I","-1.37","2,G","0.82","1,,,G","-3.57","1,,,G"
"GM000010147","1892-02","53.635","9.99","11.0","HAMBURG FUHLSBUETTEL, GM","0.0","G","0.0",",G","13",",I","5",",I","0",",I","","","0",",G","12",",G","5",",G","0",",G","0",",G","18920217",",,G","","","18920207",",,I","18920225",",,G","-10.0",",G,17,","","","10.6",",,I,07,","7.8",",G,25,","2407.0","G","498.5",",G","30.8",",,,I","1.14",",G","3.25",",,,G","-0.96",",,,G"
"GM000010147","1892-03","53.635","9.99","11.0","HAMBURG FUHLSBUETTEL, GM","0.0","G","0.0",",G","7",",I","3",",I","0",",I","","","0",",G","19",",G","8",",G","0",",G","0",",G","18920307",",,G","","","18920311",",,I","18920327",",,G","-7.7",",G,07,","","","9.1",",,I,11,","13.9",",G,27,","2932.0","G","525.0",",G","29.5",",,,I","1.40",",G","4.25",",,,G","-1.45",",,,G"
"GM000010147","1892-04","53.635","9.99","11.0","HAMBURG FUHLSBUETTEL, GM","0.0","G","0.0",",G","8",",I","1",",I","0",",I","","","0",",G","4",",G","0",",G","0",",G","0",",G","18920415",",,G","","","18920425",",,I","18920406",",,G","-1.4",",G,15,","","","6.2",",,I,25,","18.6",",G,06,","3271.6","G","339.6",",G","14.7",",,,I","7.01",",G","11.35",",,,G","2.67",",,,G"
"GM000010147","1892-05","53.635","9.99","11.0","HAMBURG FUHLSBUETTEL, GM","21.4","G","21.4",",G","14",",I","6",",I","0",",I","","","0",",G","1",",G","0",",G","6",",G","0",",G","18920507",",,G","","","18920520",",,I","18920528",",,G","-0.2",",G,07,","","","15.0",",,I,20,","31.7",",G,28,","3494.1","G","222.5",",G","51.2",",,,I","11.85",",G","15.69",",,,G","8.00",",,,G"
"GM000010147","1892-06","53.635","9.99","11.0","HAMBURG FUHLSBUETTEL, GM","28.9","G","7.5",",G","19",",I","11",",I","0",",I","","","0",",G","0",",G","0",",G","6",",G","0",",G","18920615",",,G","","","18920623",",,I","18920601",",,G","6.2",",G,15,","","","16.3",",,I,23,","26.1",",G,01,","3609.2","G","115.1",",G","80.3",",,,I","14.75",",G","18.67",",,,G","10.82",",,,G"
"GM000010147","1892-07","53.635","9.99","11.0","HAMBURG FUHLSBUETTEL, GM","34.7","G","5.8",",G","12",",I","2",",I","0",",I","","","0",",G","0",",G","0",",G","7",",G","0",",G","18920701",",,G","","","18920713",",,I","18920731",",,G","8.9",",G,01,","","","6.9",",,I,13,","26.6",",G,31,","95.2","G","95.2",",G","21.1",",,,I","15.45",",G","18.90",",,,G","12.00",",,,G"
