Date (GMT+2),Hydro Run-of-River,Biomass,Fossil brown coal / lignite,Fossil hard coal,Fossil oil,Fossil gas,Geothermal,Hydro water reservoir,Hydro pumped storage,Others,Waste,Wind offshore,Wind onshore,Solar,Load
,Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW)
2023-09-04T00:00+02:00,2521.1,3756.9,8246,1516.3,400.7,3590.2,13.7,142.2,782.8,138.4,1318.9,749.2,3871.5,1.5,38798.4
2023-09-04T00:15+02:00,2523.8,3745.4,8193.6,1519.2,400.7,3563.6,13.7,121.3,749.6,138.4,1318.6,731.6,3937.3,1.4,38234.1
2023-09-04T00:30+02:00,2529.6,3748.9,8196.5,1519.9,400.7,3558.7,13.8,55.5,369.4,138.4,1324.6,748.9,3901.6,1.6,37796.2
2023-09-04T00:45+02:00,2536.9,3743,8164.6,1509.8,400.7,3558.7,13.8,76.5,237.3,138.4,1327.3,802,4008.7,1.8,37669.9
2023-09-04T01:00+02:00,2541.6,3722.9,7939.3,1485.9,400.7,3518.2,13.8,54.9,321.2,138.4,1312.7,877.8,4078.8,1.8,37207.3
2023-09-04T01:15+02:00,2544.4,3714.4,7723.3,1369.9,400.7,3503.7,13.9,25.8,258.6,138.4,1305.7,916.7,4204.3,1.4,36879.8
2023-09-04T01:30+02:00,2546.6,3722.6,7669.6,1254.8,401.9,3526.6,13.9,20.4,163.1,138.4,1316.2,927.3,4273.3,1.4,36543
2023-09-04T01:45+02:00,2551.5,3727.9,7614.9,1121.4,401,3511.9,13.9,22.5,129.1,138.4,1321.6,1012.7,4332.7,1.3,36301.5
2023-09-04T02:00+02:00,2548.4,3696.2,7301.3,1121.1,400.7,3364.4,13.9,42.8,255.7,138.4,1316.5,1009,4350.6,1.8,36746.5
2023-09-04T02:15+02:00,2545.9,3699.4,7226.6,1120.7,400.7,3317.1,13.7,41.6,259.1,138.4,1316.7,990,4353.7,1.4,36554
2023-09-04T02:30+02:00,2540,3697.4,7243,1128.7,400.7,3321,14,27.5,219,138.4,1323.2,1025.4,4339.8,1.4,36485.2
2023-09-04T02:45+02:00,2529.4,3703.2,7253.4,1237.2,400.7,3368.5,14.1,34.3,212.2,138.4,1314.8,986.2,4372.7,1.4,36463.9
2023-09-04T03:00+02:00,2519.6,3700.9,7523.3,1325,400.7,3415.6,14.1,30.1,102.1,138.4,1304.5,900.7,4546.8,1.4,36145.3
2023-09-04T03:15+02:00,2505.7,3695,7536.5,1340.6,400.7,3425.2,14.1,37,22,138.4,1306.7,824.9,4712.4,1.6,36318.5
2023-09-04T03:30+02:00,2494.4,3697.2,7547.1,1338.9,400.7,3434.9,14.1,29.9,1.7,138.4,1322.6,785.7,4808.3,1.4,36212.7
2023-09-04T03:45+02:00,2486.8,3708.4,7539.6,1377.4,400.7,3431.8,14.2,25.5,3.3,138.4,1322,776.8,4804,1.4,36603.6
2023-09-04T04:00+02:00,2476.2,3724.1,7465,1420.1,400.7,3421.7,14.3,25.1,14,138.4,1328,766.3,4783.3,1.4,37101.4
2023-09-04T04:15+02:00,2473.2,3730.6,7574.9,1426.9,400.7,3418.9,14.3,27.4,5,138.4,1323.3,715.5,4825.6,1.4,37510.2
