Month.Year,Biomass,Wind offshore,Wind onshore,Solar
01.2009,,,,6.767
02.2009,,,,6.784
03.2009,,,,6.839
04.2009,,,,6.954
05.2009,,,,7.104
06.2009,,,,7.31
07.2009,,,,7.617
08.2009,,,,7.908
09.2009,,,,8.235
10.2009,,,,8.614
11.2009,,,,9.117
12.2009,,,,10.566
01.2010,,,,10.788
02.2010,,,,10.952
03.2010,,,,11.283
04.2010,,,,11.737
05.2010,,,,12.31
06.2010,,,,14.419
07.2010,,,,15.082
08.2010,,,,15.446
09.2010,,,,16.1
10.2010,,,,16.435
11.2010,,,,16.8
12.2010,,,,17.944
01.2011,,,,18.21
02.2011,,,,18.31
03.2011,,,,18.457
04.2011,,,,18.656
05.2011,,,,19.027
06.2011,,,,19.657
07.2011,,,,20.229
08.2011,,,,20.841
09.2011,,,,21.301
10.2011,,,,21.787
11.2011,,,,22.446
12.2011,6.134,,,25.429
01.2012,,,,25.983
02.2012,,,,26.213
03.2012,,,,27.436
04.2012,,,,27.795
05.2012,,,,28.049
06.2012,,,,29.84
07.2012,,,,30.363
08.2012,,,,30.691
09.2012,,,,31.663
10.2012,,,,32.271
11.2012,,,,32.704
12.2012,6.335,,,33.033
01.2013,,,,33.686
02.2013,,,,33.897
03.2013,,,,34.185
04.2013,,,,34.552
05.2013,,,,34.897
06.2013,,,,35.207
07.2013,,,,35.519
08.2013,,,,35.81
09.2013,,,,36.103
10.2013,,,,36.326
11.2013,,,,36.544
12.2013,6.582,0.508,32.969,36.71
01.2014,,,,36.903
02.2014,,,,37.013
03.2014,,,,37.169
04.2014,,,,37.331
05.2014,,,,37.535
06.2014,,,,37.723
07.2014,,,,38.065
08.2014,6.757,,35.575,38.205
09.2014,6.758,,35.896,38.315
10.2014,6.765,,36.277,38.39
11.2014,6.771,,36.804,38.496
12.2014,6.799,0.994,37.62,37.9
01.2015,6.813,,38.076,38.021
02.2015,6.817,,38.267,38.118
03.2015,6.818,,38.449,38.216
04.2015,6.82,,38.618,38.308
05.2015,6.822,,38.749,38.41
06.2015,6.824,,38.961,38.504
07.2015,6.825,,39.186,38.672
08.2015,6.826,,39.413,38.938
09.2015,6.828,,39.707,39.066
10.2015,6.83,,39.992,39.147
11.2015,6.832,,40.492,39.216
12.2015,7.034,3.283,41.297,39.224
01.2016,7.036,3.475,41.662,39.306
02.2016,7.038,3.545,41.864,39.356
03.2016,7.041,3.665,42.292,39.434
04.2016,7.044,3.741,42.576,39.517
05.2016,7.045,3.892,42.763,39.617
06.2016,7.048,3.892,43.31,39.736
07.2016,7.05,3.986,43.565,39.818
08.2016,7.051,3.892,43.766,39.906
09.2016,7.052,3.974,44.31,40.013
10.2016,7.054,4.03,44.608,40.122
11.2016,7.061,4.13,44.849,40.306
12.2016,7.259,4.152,45.283,40.679
01.2017,7.264,4.166,45.693,40.796
02.2017,7.268,4.286,46.073,40.919
03.2017,7.27,4.425,46.477,41.03
04.2017,7.273,4.606,46.821,41.161
05.2017,7.276,4.746,47.339,41.374
06.2017,7.277,4.82,47.81,41.58
07.2017,7.278,4.989,48.242,41.735
08.2017,7.281,4.832,48.674,41.897
09.2017,7.284,4.912,49.284,42.014
10.2017,7.286,5.265,49.806,42.163
11.2017,7.288,5.265,50.106,42.28
12.2017,7.566,5.406,50.174,42.293
01.2018,7.567,5.406,50.565,42.583
02.2018,7.568,5.406,50.768,42.785
03.2018,7.572,5.406,51.279,42.941
04.2018,7.574,5.406,51.586,43.167
05.2018,7.578,5.406,51.66,43.361
06.2018,7.58,5.406,52.085,43.704
07.2018,7.581,5.508,52.229,43.973
08.2018,7.585,5.649,52.286,44.328
09.2018,7.588,5.649,52.484,44.527
10.2018,7.591,5.868,52.611,44.709
11.2018,7.593,6.411,52.709,44.932
12.2018,7.993,6.393,52.328,45.207
01.2019,7.995,6.405,52.42,45.759
02.2019,8.004,6.411,52.476,46.152
03.2019,8.01,6.447,52.515,46.469
04.2019,8.011,6.523,52.549,46.759
05.2019,8.015,6.607,52.594,46.986
06.2019,8.019,6.661,52.626,47.257
