date,Nuclear,Hydro Run-of-River,Biomass,Fossil brown coal / lignite,Fossil hard coal,Fossil oil,Fossil gas,Geothermal,Hydro water reservoir,Hydro pumped storage,Others,Waste,Wind offshore,Wind onshore,Solar,Load
2023-09-04T00:00+02:00,0,2634.3,4710.9,8399.1,1725.6,400.7,4900.3,17.9,232.3,586,46.2,1422.4,742,3745.4,0,39758.9
2023-09-04T00:15+02:00,0,2637.1,4710.2,8345.6,1728.9,400.7,4879.3,17.9,205.8,571.6,46.2,1422,724.1,3803.3,0,39305.6
2023-09-04T00:30+02:00,0,2643.2,4711.5,8348.6,1729.7,400.7,4872.5,17.9,98.8,298.1,46.2,1428.5,744.3,3764.7,0,38801.3
2023-09-04T00:45+02:00,0,2650.9,4666,8316.1,1718.2,400.7,4872.5,17.9,124.5,149.9,46.2,1431.4,794.6,3870.9,0,38390.3
2023-09-04T01:00+02:00,0,2655.7,4655.5,8086.6,1690.9,400.7,4815.3,17.9,89.3,188.1,46.2,1415.6,870.6,3946.1,0,37839.4
2023-09-04T01:15+02:00,0,2658.6,4639.2,7866.6,1558.9,400.7,4794.7,17.9,42.5,141.2,46.2,1408.1,910.3,4054.3,0,37568.4
2023-09-04T01:30+02:00,0,2660.9,4644.3,7811.9,1427.9,401.9,4827.1,17.9,33.8,84.3,46.2,1419.4,918.9,4111.9,0,37045.8
2023-09-04T01:45+02:00,0,2666.1,4617.8,7756.2,1276.2,401,4806.3,17.9,37.1,66.7,46.2,1425.2,1006.8,4173.5,0,36728.3
2023-09-04T02:00+02:00,0,2662.8,4590,7436.8,1275.8,400.7,4597.7,17.9,70,132.1,46.2,1419.8,1003.5,4183.4,0,37030.9
2023-09-04T02:15+02:00,0,2660.2,4580.2,7360.7,1275.3,400.7,4530.8,17.9,68.5,133.8,46.2,1420,984,4178.8,0,36689.7
2023-09-04T02:30+02:00,0,2654,4578.7,7377.4,1284.5,400.7,4536.2,17.9,45.4,113.1,46.2,1426.9,1018.9,4174.6,0,36646.8
2023-09-04T02:45+02:00,0,2642.9,4525.3,7388,1408,400.7,4603.5,17.9,56.1,109.6,46.2,1417.9,981.9,4194.3,0,36492.2
2023-09-04T03:00+02:00,0,2632.8,4513.7,7662.9,1507.9,400.7,4670.1,17.9,49.9,52.8,46.2,1406.8,892.7,4337.3,0,36241.7
2023-09-04T03:15+02:00,0,2618.2,4500.5,7676.3,1525.7,400.7,4683.8,17.9,63.1,11.3,46.2,1409.2,817.4,4486,0,36420.5
2023-09-04T03:30+02:00,0,2606.4,4498,7687.1,1523.7,400.7,4697.5,17.9,50.9,0.9,46.2,1426.4,778,4575.7,0,36328.7
2023-09-04T03:45+02:00,0,2598.5,4484.4,7679.5,1567.5,400.7,4693,17.9,42,1.7,46.2,1425.7,769.4,4586.9,0,36666.7
2023-09-04T04:00+02:00,0,2587.4,4475,7603.5,1616.1,400.7,4677.8,17.9,41.4,7.2,46.2,1432.2,757.8,4550.9,0,37144.9
2023-09-04T04:15+02:00,0,2584.3,4465.9,7715.4,1623.8,400.7,4672.8,17.9,45.9,2.6,46.2,1427,706.5,4588.6,0,37556
2023-09-04T04:30+02:00,0,2580,4463,7731.8,1664.5,400.7,4654.6,17.9,67.8,61,46.3,1419.2,696.5,4586.3,0,38058
2023-09-04T04:45+02:00,0,2577.5,4432,7714.4,1858.9,400.7,4673.4,17.9,68.9,13.7,46.4,1429,701.9,4576.9,0,38150.1
2023-09-04T05:00+02:00,0,2574.3,4419.2,8046.9,2067.9,400.7,4904.2,17.9,77.5,5.9,46.3,1423.4,673.8,4550.5,0,39484.3
2023-09-04T05:15+02:00,0,2574.4,4417.7,8210.7,2195.3,400.7,5050.1,17.9,43.9,15.9,46.2,1417.2,640.8,4563.3,0,40309.4
2023-09-04T05:30+02:00,0,2576.5,4426.4,8282.7,2254.9,400.7,5260.9,17.9,144.4,214.2,46.2,1412.9,631.4,4543.3,0,41691
2023-09-04T05:45+02:00,0,2576.8,4428.3,8342.7,2319.2,400.7,5427.1,17.9,225.6,494.6,46.2,1399.4,663.5,4595.1,0,43180.5
2023-09-04T06:00+02:00,0,2579.8,4454.3,8302.2,2414.5,400.7,5705,17.9,123.4,687,46.2,1411.5,672.3,4594.1,2.6,45941.5
2023-09-04T06:15+02:00,0,2577,4450.9,8350.1,2587.5,400.7,5825.6,17.9,194.1,1219,46.2,1427.6,678.5,4624.6,12.8,47416.9
2023-09-04T06:30+02:00,0,2578.7,4452.9,8368.2,2795,400.7,5906,17.9,327.4,1670.8,46.3,1438.8,661.1,4713,79.3,48751.7
2023-09-04T06:45+02:00,0,2580.2,4464.4,8352.1,2840.9,422.5,5942.5,17.9,333.3,1995.3,46.4,1427.5,630.5,4901,345,49552.4
2023-09-04T07:00+02:00,0,2589.9,4480.9,8334.4,2892.5,432.7,5928,17.9,377.7,2819.9,46.4,1433.8,607,4898.2,1201.1,51051.9
2023-09-04T07:15+02:00,0,2584.3,4473.5,8325,2915.6,407.6,5950.3,17.9,352.8,2923.1,46.3,1441.1,596.5,4761.2,2379.5,52116.3
2023-09-04T07:30+02:00,0,2587,4476.2,8327.4,2929.7,400.7,5960.6,17.9,280.6,2796.5,46.3,1431.9,593.9,4713.5,3924.7,53128.6
2023-09-04T07:45+02:00,0,2570.5,4494.3,8297.1,2891.9,400.7,5952.5,17.9,175.3,2558.4,46.4,1429,573.3,4748.4,5848.7,54091.5
2023-09-04T08:00+02:00,0,2555,4512.2,8221.1,2822.2,400.7,5943.2,17.9,179.2,2831.9,46.3,1433.3,545.1,4797.8,7973.6,54924.9
2023-09-04T08:15+02:00,0,2562.2,4519.8,8175.2,2717.1,402.4,5909.6,17.9,183.9,1848.4,46.3,1424,539.7,4639.7,10263.5,56391.4
2023-09-04T08:30+02:00,0,2568.1,4530.2,8181.7,2578.9,403.8,5770.3,17.9,96.2,1174.1,46.3,1434,489,4357.5,12723.5,57756.4
2023-09-04T08:45+02:00,0,2559,4567.2,8226,2328.5,407.3,5622.4,17.9,227.9,370.2,46.2,1429.8,433.8,3958.7,15281.3,57992.8
2023-09-04T09:00+02:00,0,2559.7,4544.5,8233.4,2262.1,405.9,5254.9,17.9,351.9,961.8,46.2,1415.6,442.4,3509.9,17902.7,57939
2023-09-04T09:15+02:00,0,2561.9,4549,8156.3,2132.4,405.3,5121.4,17.9,202.8,424.8,46.3,1413.8,489.1,2999.7,20384.8,58162.3
2023-09-04T09:30+02:00,0,2585.8,4550.7,8104.8,1988.9,406.1,4855.2,17.9,90.4,399.9,46.3,1416.4,497.9,2627,22757.4,58878
2023-09-04T09:45+02:00,0,2595.3,4568.9,7794.1,1845.5,408.4,4454.8,17.9,174.2,160.7,46.2,1414.2,465.6,2373.1,25060,59140.1
2023-09-04T10:00+02:00,0,2593.6,4570.3,7364.1,1735.9,408.4,3903.5,17.9,303.9,501.2,46.2,1382.5,481.9,2210,27203.9,59229.9
2023-09-04T10:15+02:00,0,2607.7,4575.3,7052.3,1731,413.1,3846.6,17.9,114.2,195.8,46.2,1412.5,522,2196.2,29227.9,59455.8
2023-09-04T10:30+02:00,0,2600.3,4583.7,6862.2,1682.3,428.1,3780.8,17.9,81.9,60.6,46.2,1397.7,564.2,2238.6,31075.1,59839.2
2023-09-04T10:45+02:00,0,2555.5,4598.5,6670.2,1618.4,420.9,3627,17.9,76.5,13.2,46.2,1377.5,574.7,2309.8,32582,60085.5
2023-09-04T11:00+02:00,0,2560.7,4604.5,6528.2,1582.7,423.6,3348.1,17.9,145,248.9,46.2,1389.6,519.1,2440.5,33932.5,60254.3
2023-09-04T11:15+02:00,0,2515.1,4614.8,6370.3,1584,425.4,3265.9,17.9,68.4,59.6,46.2,1402.3,495.7,2550,35148.6,60351.2
2023-09-04T11:30+02:00,0,2483.3,4621.9,6320.5,1579.7,425.4,3264,17.9,53.1,11.1,46.3,1407.6,485.3,2645.1,36173.8,60431.7
2023-09-04T11:45+02:00,0,2490.5,4612.8,5905.9,1577.8,425.7,3253.6,17.9,47.9,0.3,46.4,1405.3,471.1,2660.2,37116.8,60398.6
2023-09-04T12:00+02:00,0,2490,4618.9,5593,1599.9,426.9,3216.7,17.9,111.7,0.2,46.4,1405.3,453.4,2660.4,37945.7,59565.4
2023-09-04T12:15+02:00,0,2490.6,4615,5509.2,1599.5,426.3,3213.3,17.9,47.7,0.2,46.4,1407.4,450.9,2576.6,38586.7,59581.6
2023-09-04T12:30+02:00,0,2484.6,4626.5,5318.3,1605.4,426.6,3262.5,17.9,76,0.2,46.4,1406.7,441.7,2535.6,38960.5,59753.8
2023-09-04T12:45+02:00,0,2458.6,4578.1,5136.7,1606.2,426.9,3282.1,17.9,58.3,0.2,46.4,1411.1,409.4,2466.7,39263.1,59811.4
2023-09-04T13:00+02:00,0,2451.4,4571.3,5036.1,1594.4,426.9,3303.8,17.9,79.3,0.2,47.6,1410,364,2400.7,39360.6,59388
2023-09-04T13:15+02:00,0,2454.9,4570.2,5008.3,1585.4,426.9,3284.4,17.9,54.4,0.2,47.5,1399.6,345.6,2381.6,39259.1,58813.3
2023-09-04T13:30+02:00,0,2478.3,4572.9,4977.4,1582.1,426.9,3308.1,17.9,29.2,0.2,47.5,1376.6,324.5,2381.2,38958.3,58411.9
2023-09-04T13:45+02:00,0,2473.3,4531.6,4990.5,1587.3,426.9,3295.5,17.9,29.3,2.1,47.5,1367.9,324.2,2375.8,38640.1,57596.8
2023-09-04T14:00+02:00,0,2471.7,4525.3,5120.9,1584,426.5,3297,17.9,28.2,0.2,47.5,1398.2,330.9,2338.5,38154.8,57732.4
2023-09-04T14:15+02:00,0,2506.3,4524.8,5127.5,1594.1,426.5,3307,17.9,28.6,0.2,47.5,1409.4,326.4,2404,37496.8,57344.1
2023-09-04T14:30+02:00,0,2539.2,4531.9,5142,1594.4,426.9,3320.7,17.9,29.2,1.2,47.5,1402.7,313.3,2432.4,36618.4,57099.5
2023-09-04T14:45+02:00,0,2533.6,4487.6,5148.3,1599.4,427.9,3316.6,17.9,31.6,14.8,47.5,1386.5,290.4,2494.5,35718,57016.3
2023-09-04T15:00+02:00,0,2541,4506.5,5530.1,1615.6,427.7,3334.9,17.9,29,9.9,47.5,1389.2,293.8,2472,34676.1,56981.7
2023-09-04T15:15+02:00,0,2530.9,4495.4,5816.7,1629.4,428.4,3384.2,17.9,65.7,21.3,47.5,1402.4,281.2,2469.8,33471.1,56734.1
2023-09-04T15:30+02:00,0,2517.8,4482.8,5949.9,1673.4,428.4,3540.7,17.9,87.7,25.9,47.5,1397.8,284,2523.7,32005.5,56056.4
2023-09-04T15:45+02:00,0,2503.3,4451.9,6042.7,1850.9,428.4,3595.8,17.9,86.7,63.8,47.5,1389.8,278.2,2554.7,30511,55677.5
2023-09-04T16:00+02:00,0,2490.2,4447.8,6235,1871.7,428.4,3998,17.9,26.4,8.9,46.3,1388.3,311,2578.8,28698.9,55372.6
2023-09-04T16:15+02:00,0,2479.6,4446.8,6525.4,1927.8,428.4,4172.5,17.9,24.4,9.7,46.3,1354.4,388.9,2599.3,26862.6,55239.8
2023-09-04T16:30+02:00,0,2475.8,4445,6808.8,1995.1,428.4,4627,17.9,86.7,151.4,46.3,1353.7,424.7,2624.7,24851.8,55202.7
2023-09-04T16:45+02:00,0,2473,4448.1,7175.3,2249.3,429.2,5152.6,17.9,110,211,46.3,1355.8,452.8,2655.2,22672.6,55194.1
2023-09-04T17:00+02:00,0,2460.8,4448.3,7568.7,2394.7,428.9,5692.9,17.9,60.4,50.5,46.3,1385.7,443.1,2685.3,20371.2,55419.6
2023-09-04T17:15+02:00,0,2443.7,4437.5,8067.3,2612.4,427.8,5963.8,17.9,119.4,102.6,46.3,1406.9,395.6,2751.6,17880.7,55697.3
2023-09-04T17:30+02:00,0,2421.7,4451.9,8489.8,2917.1,426.9,6443.1,17.9,165,569.8,46.3,1409.5,378.7,2735.2,15349.6,56023.9
2023-09-04T17:45+02:00,0,2402.8,4461.7,8745.9,3115.5,426.1,7080,17.9,207.3,1173.6,46.3,1405.7,378.2,2768.2,12833.5,56169.2
2023-09-04T18:00+02:00,0,2384.9,4490.9,8868.3,3314.3,426.9,7973.9,17.9,81.5,770.3,46.3,1405.6,428.3,2808.4,10341.8,56547.6
2023-09-04T18:15+02:00,0,2367.9,4501.4,9016.8,3469.4,426.9,8383.2,17.9,153.5,1183.8,46.3,1406.3,378.9,2885.7,7905.9,56505.5
2023-09-04T18:30+02:00,0,2350.8,4510.5,9100.4,3584.3,426.9,8511.7,17.9,235.1,2514.8,46.3,1410.1,346.6,3025.3,5676.3,55995.6
2023-09-04T18:45+02:00,0,2339.2,4529.4,9162.6,3625.9,426.9,8615.6,17.9,284.5,3216.9,46.3,1405.1,351.8,3294.5,3761.1,55697.8
2023-09-04T19:00+02:00,0,2332.4,4540.4,9205.2,3637.2,428.9,9038.5,17.9,288,3161.3,46.3,1418.8,347.6,3595.1,2276.2,55653.9
2023-09-04T19:15+02:00,0,2338.2,4555.5,9338.6,3638.9,466.2,9204.8,17.9,267.2,3210.2,46.3,1413.2,385.1,4072,1220.6,55382.5
2023-09-04T19:30+02:00,0,2340.2,4550.1,9411.6,3648.6,499.2,9288,17.9,203.3,3155.2,46.3,1409.9,426.4,4659.2,460.2,54969.9
2023-09-04T19:45+02:00,0,2351.8,4575,9472.4,3643.1,520,9284.8,17.9,227.3,3057.1,46.3,1399.4,459.8,5371.8,105.1,54494.3
2023-09-04T20:00+02:00,0,2360.8,4586,9517.1,3658.5,471.6,9163.9,17.9,218.3,3048.2,45.2,1384.7,454.5,5870.6,13.1,54565.9
