ensembl_gene_id,external_gene_name,sample,expression,group,sample_type,condition,is_immune_gene,direction
ENSMUSG00000033576,Apol6,Hin_1,2.2037551036479623,Hin,input,healthy,no,up
ENSMUSG00000033576,Apol6,Hin_2,2.2037551036479623,Hin,input,healthy,no,up
ENSMUSG00000033576,Apol6,Hin_3,2.660557981274521,Hin,input,healthy,no,up
ENSMUSG00000033576,Apol6,Hin_4,2.6495337084191877,Hin,input,healthy,no,up
ENSMUSG00000033576,Apol6,Hin_5,3.442740432961632,Hin,input,healthy,no,up
ENSMUSG00000033576,Apol6,Ein_1,5.030997477349095,Ein,input,EAE,no,up
ENSMUSG00000033576,Apol6,Ein_2,5.31441184724134,Ein,input,EAE,no,up
ENSMUSG00000033576,Apol6,Ein_3,5.372403375368066,Ein,input,EAE,no,up
ENSMUSG00000033576,Apol6,Ein_4,5.536959985338722,Ein,input,EAE,no,up
ENSMUSG00000033576,Apol6,Ein_5,5.645713802000875,Ein,input,EAE,no,up
ENSMUSG00000033576,Apol6,Hip_1,2.2037551036479623,Hip,IP,healthy,no,up
ENSMUSG00000033576,Apol6,Hip_2,2.2037551036479623,Hip,IP,healthy,no,up
ENSMUSG00000033576,Apol6,Hip_3,2.619195653858831,Hip,IP,healthy,no,up
ENSMUSG00000033576,Apol6,Hip_4,2.2037551036479623,Hip,IP,healthy,no,up
ENSMUSG00000033576,Apol6,Hip_5,2.2037551036479623,Hip,IP,healthy,no,up
ENSMUSG00000033576,Apol6,Eip_1,7.207838176057914,Eip,IP,EAE,no,up
ENSMUSG00000033576,Apol6,Eip_2,8.418187786564724,Eip,IP,EAE,no,up
ENSMUSG00000033576,Apol6,Eip_3,7.505586852995945,Eip,IP,EAE,no,up
ENSMUSG00000033576,Apol6,Eip_4,7.1165224651786625,Eip,IP,EAE,no,up
ENSMUSG00000033576,Apol6,Eip_5,7.692019900721221,Eip,IP,EAE,no,up
ENSMUSG00000004098,Col5a3,Hin_1,3.623289228850624,Hin,input,healthy,no,up
ENSMUSG00000004098,Col5a3,Hin_2,2.9505141128562693,Hin,input,healthy,no,up
ENSMUSG00000004098,Col5a3,Hin_3,3.883793860800585,Hin,input,healthy,no,up
ENSMUSG00000004098,Col5a3,Hin_4,3.821837750949011,Hin,input,healthy,no,up
ENSMUSG00000004098,Col5a3,Hin_5,3.4866964122158213,Hin,input,healthy,no,up
ENSMUSG00000004098,Col5a3,Ein_1,5.347029256581179,Ein,input,EAE,no,up
ENSMUSG00000004098,Col5a3,Ein_2,5.970917451418487,Ein,input,EAE,no,up
ENSMUSG00000004098,Col5a3,Ein_3,5.2007829416372475,Ein,input,EAE,no,up
ENSMUSG00000004098,Col5a3,Ein_4,5.380863098855246,Ein,input,EAE,no,up
ENSMUSG00000004098,Col5a3,Ein_5,5.414576156463865,Ein,input,EAE,no,up
ENSMUSG00000004098,Col5a3,Hip_1,2.2037551036479623,Hip,IP,healthy,no,up
ENSMUSG00000004098,Col5a3,Hip_2,2.2037551036479623,Hip,IP,healthy,no,up
ENSMUSG00000004098,Col5a3,Hip_3,2.2037551036479623,Hip,IP,healthy,no,up
ENSMUSG00000004098,Col5a3,Hip_4,2.2037551036479623,Hip,IP,healthy,no,up
ENSMUSG00000004098,Col5a3,Hip_5,2.2037551036479623,Hip,IP,healthy,no,up
ENSMUSG00000004098,Col5a3,Eip_1,6.900970607739984,Eip,IP,EAE,no,up
ENSMUSG00000004098,Col5a3,Eip_2,7.825300055659199,Eip,IP,EAE,no,up
ENSMUSG00000004098,Col5a3,Eip_3,3.7192670659896905,Eip,IP,EAE,no,up
ENSMUSG00000004098,Col5a3,Eip_4,8.444539438161712,Eip,IP,EAE,no,up
ENSMUSG00000004098,Col5a3,Eip_5,6.795067512209458,Eip,IP,EAE,no,up
ENSMUSG00000036553,Sh3tc1,Hin_1,3.0943247259140065,Hin,input,healthy,no,up
ENSMUSG00000036553,Sh3tc1,Hin_2,3.9456689538158733,Hin,input,healthy,no,up
ENSMUSG00000036553,Sh3tc1,Hin_3,3.7217807824258076,Hin,input,healthy,no,up
ENSMUSG00000036553,Sh3tc1,Hin_4,4.071979261455928,Hin,input,healthy,no,up
ENSMUSG00000036553,Sh3tc1,Hin_5,3.5693613399508783,Hin,input,healthy,no,up
ENSMUSG00000036553,Sh3tc1,Ein_1,5.758297712891266,Ein,input,EAE,no,up
ENSMUSG00000036553,Sh3tc1,Ein_2,5.628463970942804,Ein,input,EAE,no,up
ENSMUSG00000036553,Sh3tc1,Ein_3,4.943715492835961,Ein,input,EAE,no,up
ENSMUSG00000036553,Sh3tc1,Ein_4,5.004403443263173,Ein,input,EAE,no,up
ENSMUSG00000036553,Sh3tc1,Ein_5,5.505736748151263,Ein,input,EAE,no,up
ENSMUSG00000036553,Sh3tc1,Hip_1,2.2037551036479623,Hip,IP,healthy,no,up
ENSMUSG00000036553,Sh3tc1,Hip_2,2.2037551036479623,Hip,IP,healthy,no,up
ENSMUSG00000036553,Sh3tc1,Hip_3,2.2037551036479623,Hip,IP,healthy,no,up
ENSMUSG00000036553,Sh3tc1,Hip_4,2.9324468885364987,Hip,IP,healthy,no,up
ENSMUSG00000036553,Sh3tc1,Hip_5,2.2037551036479623,Hip,IP,healthy,no,up
ENSMUSG00000036553,Sh3tc1,Eip_1,8.434457369878807,Eip,IP,EAE,no,up
ENSMUSG00000036553,Sh3tc1,Eip_2,8.051110907260599,Eip,IP,EAE,no,up
ENSMUSG00000036553,Sh3tc1,Eip_3,3.7192670659896905,Eip,IP,EAE,no,up
ENSMUSG00000036553,Sh3tc1,Eip_4,5.605475371210288,Eip,IP,EAE,no,up
ENSMUSG00000036553,Sh3tc1,Eip_5,7.439714469782121,Eip,IP,EAE,no,up
ENSMUSG00000032589,Bsn,Hin_1,9.59469241229078,Hin,input,healthy,no,up
ENSMUSG00000032589,Bsn,Hin_2,9.481154748607095,Hin,input,healthy,no,up
ENSMUSG00000032589,Bsn,Hin_3,9.663026999610224,Hin,input,healthy,no,up
ENSMUSG00000032589,Bsn,Hin_4,9.621491884009597,Hin,input,healthy,no,up
ENSMUSG00000032589,Bsn,Hin_5,9.254889235130461,Hin,input,healthy,no,up
ENSMUSG00000032589,Bsn,Ein_1,9.549501407372556,Ein,input,EAE,no,up
ENSMUSG00000032589,Bsn,Ein_2,10.336688349455562,Ein,input,EAE,no,up
ENSMUSG00000032589,Bsn,Ein_3,9.978071972164708,Ein,input,EAE,no,up
ENSMUSG00000032589,Bsn,Ein_4,9.823800529463519,Ein,input,EAE,no,up
ENSMUSG00000032589,Bsn,Ein_5,9.465945893775933,Ein,input,EAE,no,up
ENSMUSG00000032589,Bsn,Hip_1,9.427565544413046,Hip,IP,healthy,no,up
ENSMUSG00000032589,Bsn,Hip_2,9.40176862050274,Hip,IP,healthy,no,up
ENSMUSG00000032589,Bsn,Hip_3,9.52087740070882,Hip,IP,healthy,no,up
ENSMUSG00000032589,Bsn,Hip_4,9.264846851942076,Hip,IP,healthy,no,up
ENSMUSG00000032589,Bsn,Hip_5,10.194224986763171,Hip,IP,healthy,no,up
ENSMUSG00000032589,Bsn,Eip_1,11.871814281861578,Eip,IP,EAE,no,up
ENSMUSG00000032589,Bsn,Eip_2,11.444949719144894,Eip,IP,EAE,no,up
ENSMUSG00000032589,Bsn,Eip_3,11.08334622553713,Eip,IP,EAE,no,up
ENSMUSG00000032589,Bsn,Eip_4,11.58509261814276,Eip,IP,EAE,no,up
ENSMUSG00000032589,Bsn,Eip_5,11.489940765438023,Eip,IP,EAE,no,up
ENSMUSG00000034936,Arl4d,Hin_1,6.379306238102802,Hin,input,healthy,no,up
ENSMUSG00000034936,Arl4d,Hin_2,5.795141145477338,Hin,input,healthy,no,up
ENSMUSG00000034936,Arl4d,Hin_3,5.767257979792665,Hin,input,healthy,no,up
ENSMUSG00000034936,Arl4d,Hin_4,5.991696348135113,Hin,input,healthy,no,up
ENSMUSG00000034936,Arl4d,Hin_5,6.256381271782062,Hin,input,healthy,no,up
ENSMUSG00000034936,Arl4d,Ein_1,5.5136012488307315,Ein,input,EAE,no,up
ENSMUSG00000034936,Arl4d,Ein_2,5.697177813400821,Ein,input,EAE,no,up
ENSMUSG00000034936,Arl4d,Ein_3,6.555628820944611,Ein,input,EAE,no,up
ENSMUSG00000034936,Arl4d,Ein_4,6.031177507520569,Ein,input,EAE,no,up
ENSMUSG00000034936,Arl4d,Ein_5,7.073764442860339,Ein,input,EAE,no,up
ENSMUSG00000034936,Arl4d,Hip_1,4.493476025635952,Hip,IP,healthy,no,up
ENSMUSG00000034936,Arl4d,Hip_2,4.561037728722876,Hip,IP,healthy,no,up
ENSMUSG00000034936,Arl4d,Hip_3,4.20544763651574,Hip,IP,healthy,no,up
ENSMUSG00000034936,Arl4d,Hip_4,4.4382806129919725,Hip,IP,healthy,no,up
ENSMUSG00000034936,Arl4d,Hip_5,4.835291362535578,Hip,IP,healthy,no,up
ENSMUSG00000034936,Arl4d,Eip_1,6.55248096714547,Eip,IP,EAE,no,up
ENSMUSG00000034936,Arl4d,Eip_2,7.099168714426773,Eip,IP,EAE,no,up
ENSMUSG00000034936,Arl4d,Eip_3,6.695912071276458,Eip,IP,EAE,no,up
ENSMUSG00000034936,Arl4d,Eip_4,8.63763904665001,Eip,IP,EAE,no,up
